GeoName,Year,All industry total,Personal income (thousands of dollars),Population (persons) 3/,Total employment,Wages and salaries
"Wells, IN",2012,0.010706848,0.019070503,0.023628519,0.017343266,0.011846787
"White, IN",2012,0.008580011,0.016411614,0.020195791,0.014578233,0.008695545
"Whitley, IN",2012,0.011804873,0.024805794,0.029750672,0.019929269,0.01288731
"Adams, IN",2013,0.014540247,0.023993526,0.030891856,0.023991188,0.013277431
"Allen, IN",2013,0.193934319,0.330521288,0.386632828,0.316323574,0.245443555
"Bartholomew, IN",2013,0.074965051,0.077584536,0.078715853,0.077418883,0.074915783
"Benton, IN",2013,0.003929933,0.004391978,0.002954095,0.002236646,0.001393563
"Blackford, IN",2013,0.002240377,0.005178745,0.007070422,0.00358426,0.002394551
"Boone, IN",2013,0.030124989,0.084340829,0.059165996,0.047305756,0.030764917
"Brown, IN",2013,0.00171455,0.009319347,0.009888672,0.004806678,0.001219348
"Carroll, IN",2013,0.006033457,0.013839201,0.015245934,0.007812786,0.004474608
"Cass, IN",2013,0.014123489,0.026510909,0.035263702,0.022957267,0.014926408
"Clark, IN",2013,0.05324062,0.097660451,0.115727214,0.084100686,0.059119591
"Clay, IN",2013,0.006498349,0.016196552,0.022349778,0.012190422,0.006425413
"Clinton, IN",2013,0.012927121,0.022216222,0.029184088,0.017115262,0.011751844
"Crawford, IN",2013,0.000886365,0.002295674,0.004948648,0.001841364,0.000467378
"Daviess, IN",2013,0.011364907,0.023572592,0.028290312,0.020581359,0.011207993
"DeKalb, IN",2013,0.025523744,0.032387254,0.039092166,0.033394947,0.027138635
"Dearborn, IN",2013,0.016222715,0.043129169,0.047487618,0.025161559,0.016139139
"Decatur, IN",2013,0.01331524,0.018706392,0.021776209,0.020616526,0.015813364
"Delaware, IN",2013,0.042861126,0.083356868,0.118917421,0.079738523,0.054811699
"Dubois, IN",2013,0.026440493,0.042228163,0.03947706,0.044009869,0.033301165
"Elkhart, IN",2013,0.12595475,0.168550155,0.209664203,0.197024558,0.157145006
"Fayette, IN",2013,0.005338337,0.014387794,0.019376276,0.009150553,0.005842617
"Floyd, IN",2013,0.027401114,0.075655904,0.076029136,0.051523029,0.034736825
"Fountain, IN",2013,0.005606832,0.010209039,0.011720426,0.007282462,0.004169881
"Franklin, IN",2013,0.004066857,0.01735979,0.018308921,0.007212127,0.002901914
